horizontal velocity [m/s],vertical velocity [m/s]
8.3,-2.0
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.0000000000000013
8.3,-3.0000000000000013
8.3,-1.000000000000001
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-2.000000000000001
8.3,-1.000000000000001
8.3,-2.000000000000001
8.3,-2.0000000000000013
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.000000000000001
8.3,-4.000000000000001
8.3,-1.0000000000000013
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.000000000000001
8.3,-2.000000000000001
8.3,-1.000000000000001
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.000000000000001
8.3,-3.0000000000000013
8.3,-2.0000000000000013
8.3,-2.0000000000000013
8.3,-3.0000000000000013
8.3,-1.000000000000001
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.000000000000001
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.000000000000001
8.3,-2.000000000000001
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.4,-2.000000000000001
8.4,-1.0000000000000009
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.4,-2.000000000000001
8.4,-1.0000000000000009
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.4,-1.0000000000000009
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.4,-1.000000000000001
8.4,-2.000000000000001
8.4,-1.0000000000000009
8.4,-1.0000000000000007
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.4,-1.0000000000000009
8.4,-1.0000000000000007
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.5,-1.000000000000001
8.5,-2.000000000000001
8.5,-2.0000000000000013
8.5,-2.000000000000001
8.5,-1.0000000000000009
8.5,-1.0000000000000009
8.5,-2.000000000000001
8.8,-2.000000000000001
8.8,-1.0000000000000009
8.8,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.000000000000001
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-2.0000000000000013
9.0,-2.0000000000000013
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.000000000000001
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.000000000000001
9.0,-3.0000000000000013
9.0,-1.000000000000001
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.000000000000001
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-2.0000000000000013
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.3,-2.000000000000001
9.3,-1.0000000000000009
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000009
9.3,-2.000000000000001
9.3,-2.000000000000001
9.3,-1.0000000000000009
9.3,-1.0000000000000007
9.3,-1.0000000000000009
9.3,-2.000000000000001
9.3,-2.0000000000000013
9.3,-3.0000000000000013
9.3,-1.000000000000001
9.3,-2.000000000000001
9.3,-1.0000000000000009
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000009
9.3,-2.000000000000001
9.3,-1.000000000000001
9.3,-2.000000000000001
9.3,-1.0000000000000009
9.3,-1.0000000000000007
9.3,-1.0000000000000009
9.3,-2.000000000000001
9.3,-1.0000000000000009
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000009
9.3,-2.000000000000001
9.3,-1.0000000000000009
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000009
9.3,-2.0000000000000013
9.3,-3.0000000000000013
9.3,-1.000000000000001
9.3,-2.000000000000001
9.3,-1.0000000000000013
9.3,-4.000000000000001
9.3,-1.000000000000001
9.3,-1.0000000000000007
9.3,-1.0000000000000009
9.3,-2.000000000000001
9.3,-1.0000000000000009
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.3,-1.0000000000000007
9.4,-1.0000000000000009
9.4,-2.000000000000001
9.4,-1.0000000000000009
9.4,-1.0000000000000007
9.4,-1.0000000000000007
9.4,-1.0000000000000007
9.4,-1.0000000000000007
9.4,-1.0000000000000007
9.4,-1.0000000000000007
9.4,-1.0000000000000007
9.4,-1.0000000000000007
9.4,-1.0000000000000007
9.4,-1.0000000000000007
9.4,-1.0000000000000009
9.4,-2.000000000000001
9.4,-2.000000000000001
9.4,-1.0000000000000009
9.4,-1.0000000000000007
9.4,-1.0000000000000007
9.4,-1.0000000000000009
9.5,-2.000000000000001
9.5,-1.000000000000001
9.5,-2.000000000000001
9.5,-2.000000000000001
9.5,-1.0000000000000009
9.5,-1.0000000000000007
9.5,-1.0000000000000007
9.5,-1.0000000000000007
9.5,-1.0000000000000007
9.5,-1.0000000000000007
9.5,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.0000000000000013
9.6,-3.0000000000000018
9.6,-2.0000000000000013
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.000000000000001
9.6,-2.000000000000001
9.6,-2.0000000000000013
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.000000000000001
9.6,-2.000000000000001
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.000000000000001
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.000000000000001
9.6,-3.0000000000000013
9.6,-1.0000000000000013
9.6,-3.0000000000000013
9.6,-1.000000000000001
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.000000000000001
9.6,-2.0000000000000013
9.6,-3.0000000000000018
9.6,-2.0000000000000013
9.6,-2.0000000000000013
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.6,-1.0000000000000007
9.6,-1.0000000000000009
9.6,-2.000000000000001
9.6,-1.0000000000000009
9.7,-1.0000000000000009
9.7,-2.000000000000001
9.7,-1.0000000000000009
9.7,-1.0000000000000009
9.7,-2.000000000000001
9.7,-1.0000000000000009
9.7,-1.0000000000000007
9.7,-1.0000000000000007
9.7,-1.0000000000000007
9.7,-1.0000000000000007
9.7,-1.0000000000000007
9.7,-1.0000000000000007
9.7,-1.0000000000000007
9.7,-1.0000000000000007
9.7,-1.0000000000000009
9.7,-2.000000000000001
9.7,-1.0000000000000009
9.7,-1.0000000000000009
9.7,-2.000000000000001
9.7,-1.0000000000000009
9.7,-1.000000000000001
9.7,-3.0000000000000013
9.7,-1.0000000000000013
9.7,-3.0000000000000013
9.7,-2.0000000000000013
9.7,-1.000000000000001
9.7,-2.000000000000001
9.7,-2.0000000000000013
9.7,-2.0000000000000013
9.7,-2.0000000000000013
9.7,-2.000000000000001
9.7,-1.0000000000000009
9.7,-1.0000000000000007
9.7,-1.0000000000000009
9.7,-2.000000000000001
9.7,-1.000000000000001
9.7,-3.0000000000000013
9.7,-2.0000000000000013
9.7,-1.0000000000000009
9.7,-1.0000000000000009
9.7,-2.000000000000001
9.7,-1.000000000000001
9.7,-3.0000000000000013
9.7,-2.0000000000000013
9.7,-1.000000000000001
9.7,-2.000000000000001
9.7,-2.0000000000000013
9.7,-2.000000000000001
9.7,-1.0000000000000009
9.7,-1.0000000000000007
9.7,-1.0000000000000009
9.7,-2.000000000000001
9.7,-1.0000000000000009
9.7,-1.0000000000000009
9.7,-2.000000000000001
9.7,-2.0000000000000013
9.7,-2.000000000000001
9.7,-1.000000000000001
9.7,-2.000000000000001
9.7,-2.000000000000001
9.7,-1.000000000000001
9.7,-2.000000000000001
9.7,-1.0000000000000009
9.7,-1.0000000000000007
9.7,-1.0000000000000007
9.7,-1.0000000000000009
9.7,-2.000000000000001
9.8,-1.000000000000001
9.8,-2.000000000000001
9.8,-1.000000000000001
9.8,-2.000000000000001
9.8,-1.0000000000000009
9.8,-1.0000000000000007
9.8,-1.0000000000000007
9.8,-1.0000000000000007
9.8,-1.0000000000000007
9.8,-1.0000000000000007
9.8,-1.0000000000000007
9.8,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-2.000000000000001
10.0,-1.000000000000001
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.000000000000001
10.0,-2.000000000000001
10.0,-2.000000000000001
10.0,-1.000000000000001
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-2.000000000000001
10.0,-1.000000000000001
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-2.0000000000000013
10.0,-2.0000000000000013
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-2.000000000000001
10.0,-1.000000000000001
10.0,-2.000000000000001
10.0,-1.000000000000001
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.000000000000001
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-2.0000000000000013
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-2.0000000000000013
10.0,-2.000000000000001
10.0,-1.000000000000001
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000009
10.0,-2.000000000000001
10.0,-2.000000000000001
10.0,-1.0000000000000009
10.0,-1.0000000000000007
10.0,-1.0000000000000007
10.1,-1.0000000000000009
10.1,-2.000000000000001
10.1,-1.0000000000000009
